##NAMES=Atorvastatin
##RRUFFID=XD120016
##IDEAL CHEMISTRY=
##LOCALITY=Synthetic; pill is from Vietnam
##OWNER=RRUFF
##SOURCE=David Blake
##DESCRIPTION=20 mg pills from D120014, sans coating. Atorvastatin is a drug commonly used to lower blood cholesterol levels, and also acts as an anti-inflammatory agent.
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/XD120016
##DIFFRACTION SAMPLE DESCRIPTION=Powder, Co-radiation
##FILETYPE=Raman Processed
##RAMAN WAVELENGTH=532

206.0946, 4759.860
208.0230, 4766.861
209.9515, 4766.822
211.8800, 4759.830
213.8084, 4756.451
215.7369, 4758.197
217.6654, 4763.195
219.5938, 4768.944
221.5223, 4773.369
223.4508, 4782.924
225.3792, 4799.029
227.3077, 4821.530
229.2362, 4844.083
231.1646, 4864.817
233.0931, 4885.062
235.0216, 4907.127
236.9500, 4932.484
238.8785, 4956.150
240.8070, 4975.133
242.7354, 4989.440
244.6639, 5003.942
246.5924, 5018.368
248.5208, 5033.992
250.4493, 5051.023
252.3778, 5072.401
254.3062, 5091.031
256.2347, 5108.161
258.1632, 5123.140
260.0916, 5133.781
262.0201, 5134.859
263.9486, 5134.440
265.8770, 5135.943
267.8055, 5139.063
269.7340, 5145.268
271.6624, 5157.203
273.5909, 5172.555
275.5194, 5188.136
277.4478, 5205.383
279.3763, 5223.073
281.3048, 5238.229
283.2332, 5250.264
285.1617, 5262.287
287.0902, 5276.347
289.0186, 5293.326
290.9471, 5313.010
292.8756, 5338.592
294.8040, 5359.523
296.7325, 5372.196
298.6610, 5378.767
300.5894, 5388.652
302.5179, 5404.646
304.4464, 5422.636
306.3748, 5438.449
308.3033, 5450.495
310.2318, 5462.799
312.1602, 5478.204
314.0887, 5496.623
316.0172, 5517.490
317.9456, 5543.112
319.8741, 5568.692
321.8026, 5590.487
323.7310, 5607.930
325.6595, 5626.508
327.5880, 5650.431
329.5164, 5677.513
331.4449, 5703.127
333.3734, 5723.209
335.3018, 5745.576
337.2303, 5772.913
339.1588, 5804.927
341.0872, 5841.165
343.0157, 5878.938
344.9442, 5921.769
346.8727, 5977.615
348.8011, 6052.566
350.7296, 6123.166
352.6581, 6179.409
354.5865, 6221.575
356.5150, 6252.794
358.4435, 6264.669
360.3719, 6263.498
362.3004, 6253.205
364.2289, 6237.552
366.1573, 6225.452
368.0858, 6225.152
370.0143, 6235.032
371.9427, 6252.985
373.8712, 6274.043
375.7997, 6293.948
377.7281, 6308.995
379.6566, 6317.271
381.5851, 6314.275
383.5135, 6301.056
385.4420, 6286.397
387.3705, 6275.940
389.2989, 6272.104
391.2274, 6272.432
393.1559, 6274.511
395.0843, 6279.349
397.0128, 6292.050
398.9413, 6314.155
400.8697, 6327.692
402.7982, 6323.746
404.7267, 6309.281
406.6551, 6303.339
408.5836, 6313.501
410.5121, 6327.136
412.4405, 6336.458
414.3690, 6341.703
416.2975, 6351.858
418.2259, 6368.938
420.1544, 6388.329
422.0829, 6405.475
424.0113, 6422.975
425.9398, 6439.092
427.8683, 6452.333
429.7967, 6463.114
431.7252, 6474.822
433.6537, 6489.224
435.5821, 6505.900
437.5106, 6524.650
439.4391, 6546.397
441.3675, 6566.141
443.2960, 6580.235
445.2245, 6590.484
447.1529, 6600.012
449.0814, 6613.891
451.0099, 6627.497
452.9383, 6636.332
454.8668, 6643.026
456.7953, 6662.265
458.7237, 6699.175
460.6522, 6742.218
462.5807, 6785.310
464.5091, 6829.029
466.4376, 6875.561
468.3661, 6928.128
470.2945, 6975.630
472.2230, 7011.255
474.1515, 7033.004
476.0799, 7042.634
478.0084, 7040.054
479.9369, 7027.467
481.8653, 7007.139
483.7938, 6978.290
485.7223, 6953.560
487.6507, 6935.474
489.5792, 6926.371
491.5077, 6924.978
493.4361, 6931.540
495.3646, 6939.563
497.2931, 6946.328
499.2215, 6950.158
501.1500, 6957.297
503.0785, 6974.046
505.0069, 6991.160
506.9354, 6998.157
508.8639, 6990.538
510.7923, 6987.976
512.7208, 6995.412
514.6493, 7009.063
516.5778, 7021.028
518.5062, 7029.081
520.4347, 7037.281
522.3632, 7046.991
524.2916, 7059.986
526.2201, 7073.708
528.1486, 7087.532
530.0770, 7101.866
532.0055, 7117.643
533.9340, 7135.151
535.8624, 7153.801
537.7909, 7172.140
539.7194, 7192.116
541.6478, 7216.541
543.5763, 7247.229
545.5048, 7276.455
547.4332, 7301.695
549.3617, 7324.063
551.2902, 7345.189
553.2186, 7362.927
555.1471, 7377.229
557.0756, 7389.627
559.0040, 7401.107
560.9325, 7406.936
562.8610, 7403.749
564.7894, 7400.985
566.7179, 7401.819
568.6464, 7408.699
570.5748, 7419.485
572.5033, 7433.579
574.4318, 7448.419
576.3602, 7464.065
578.2887, 7480.866
580.2172, 7499.997
582.1456, 7524.123
584.0741, 7548.214
586.0026, 7566.392
587.9310, 7571.560
589.8595, 7577.604
591.7880, 7586.554
593.7164, 7599.187
595.6449, 7612.992
