##NAMES=Calcurmolite
##RRUFFID=R070028
##IDEAL CHEMISTRY=(Ca_1-x_Na_x_)_2_(UO_2_)_3_(MoO_4_)_2_(OH)_6-x_·nH_2_O
##LOCALITY=Gornoe, Transbaikal region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Lemon-yellow massive
##STATUS=The identification of this mineral is not yet confirmed
##URL=https://www.rruff.net/odr/rruff_sample/R070028
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##FILETYPE=Raman RAW
##RAMAN WAVELENGTH=785

185.1008, 6645.821
187.0293, 6748.416
188.9578, 6857.761
190.8862, 6951.678
192.8147, 7028.101
194.7432, 7084.397
196.6716, 7120.189
198.6001, 7151.487
200.5286, 7175.313
202.4570, 7199.631
204.3855, 7236.791
206.3140, 7273.255
208.2424, 7286.765
210.1709, 7279.651
212.0994, 7269.953
214.0278, 7253.862
215.9563, 7246.606
217.8848, 7257.618
219.8132, 7272.005
221.7417, 7279.824
223.6702, 7285.217
225.5986, 7295.324
227.5271, 7314.229
229.4556, 7340.683
231.3840, 7371.027
233.3125, 7407.886
235.2410, 7451.060
237.1694, 7502.007
239.0979, 7564.620
241.0264, 7633.587
242.9548, 7704.655
244.8833, 7776.236
246.8118, 7838.204
248.7402, 7883.113
250.6687, 7934.729
252.5972, 8003.917
254.5257, 8068.480
256.4541, 8123.212
258.3826, 8160.468
260.3111, 8173.316
262.2395, 8165.390
264.1680, 8147.697
266.0965, 8120.906
268.0249, 8093.921
269.9534, 8066.644
271.8819, 8039.646
273.8103, 8021.119
275.7388, 7997.090
277.6673, 7953.977
279.5957, 7895.900
281.5242, 7834.438
283.4527, 7769.615
285.3811, 7697.411
287.3096, 7611.633
289.2381, 7537.136
291.1665, 7488.538
293.0950, 7440.261
295.0235, 7376.482
296.9519, 7309.578
298.8804, 7254.675
300.8089, 7211.033
302.7373, 7177.606
304.6658, 7155.993
306.5943, 7136.818
308.5227, 7115.215
310.4512, 7101.556
312.3797, 7101.545
314.3081, 7106.751
316.2366, 7102.900
318.1651, 7105.266
320.0935, 7143.161
322.0220, 7219.703
323.9505, 7280.880
325.8789, 7308.148
327.8074, 7352.465
329.7359, 7422.377
331.6643, 7499.319
333.5928, 7585.633
335.5213, 7667.205
337.4497, 7721.737
339.3782, 7761.893
341.3067, 7828.988
343.2351, 7929.088
345.1636, 8024.002
347.0921, 8111.910
349.0205, 8191.040
350.9490, 8260.992
352.8775, 8327.651
354.8059, 8383.612
356.7344, 8441.163
358.6629, 8528.679
360.5913, 8630.197
362.5198, 8684.646
364.4483, 8693.804
366.3767, 8701.987
368.3052, 8717.052
370.2337, 8713.916
372.1621, 8678.809
374.0906, 8632.582
376.0191, 8584.594
377.9475, 8520.757
379.8760, 8434.957
381.8045, 8338.974
383.7329, 8233.286
385.6614, 8115.582
387.5899, 7982.840
389.5183, 7827.009
391.4468, 7675.696
393.3753, 7549.672
395.3037, 7417.139
397.2322, 7250.474
399.1607, 7080.094
401.0891, 6936.220
403.0176, 6804.318
404.9461, 6665.726
406.8745, 6524.187
408.8030, 6396.840
410.7315, 6286.088
412.6599, 6180.072
414.5884, 6070.544
416.5169, 5984.741
418.4453, 5935.926
420.3738, 5890.766
422.3023, 5830.492
424.2307, 5767.899
426.1592, 5720.603
428.0877, 5693.361
430.0161, 5676.666
431.9446, 5666.544
433.8731, 5664.299
435.8015, 5670.398
437.7300, 5672.801
439.6585, 5673.746
441.5869, 5686.365
443.5154, 5701.329
445.4439, 5720.437
447.3723, 5758.515
449.3008, 5816.376
451.2293, 5887.212
453.1577, 5956.694
455.0862, 6013.720
457.0147, 6072.126
458.9431, 6153.238
460.8716, 6251.276
462.8001, 6347.035
464.7285, 6438.306
466.6570, 6534.345
468.5855, 6651.136
470.5139, 6761.082
472.4424, 6838.754
474.3709, 6910.421
476.2993, 6992.823
478.2278, 7080.097
480.1563, 7184.377
482.0847, 7305.123
484.0132, 7408.564
